iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,5,52,sin,67795,59,0.0005878217587962,0.0020503883715718985,True
2,3,100,sin,43726,78,0.0011849892511485,0.003943820483982563,True
3,6,88,sin,96222,61,0.0009215580407877,0.00041249877540394664,True
4,6,38,tanh,55403,85,0.0137954292981904,1.137339472770691,True
5,5,71,sin,72575,200,0.0018418884222506,0.0039882049895823,True
6,4,69,sin,85654,27,7.820852719338074e-05,0.0009157630265690386,True
7,5,64,sin,97882,10,0.0011308400992544,0.7942320704460144,True
8,9,74,sin,100000,86,0.0016636799518437,0.0018929390935227275,True
9,7,92,sin,81436,38,0.0021947918490761,0.04663487523794174,True
10,5,80,swish,92945,167,0.0014704361609709,0.00398674514144659,True
11,3,89,sin,75480,93,0.0009188017869534345,0.0008859869558364153,False
12,3,89,sin,75480,93,0.0005470465772859878,0.005110476166009903,False
13,6,78,sin,51197,47,0.0008296980357208918,0.002283930080011487,False
14,4,88,sin,50587,122,0.0008977342386348783,0.0034290626645088196,False
15,8,56,sin,89896,177,0.0008072394979431564,0.005897317081689835,False
16,4,67,tanh,88251,175,0.0007524322588931469,0.0003423011221457273,False
17,2,82,tanh,86818,82,0.000716144134110285,0.0009072910179384053,False
18,7,98,swish,58441,88,0.0007710106140715951,0.0025878180749714375,False
19,8,100,sin,60680,156,0.0007562612030872762,0.003919197712093592,False
20,10,72,tanh,78794,118,0.0006345926984067118,0.0020043563563376665,False
21,9,83,swish,98557,169,0.0006874911577618559,0.000157542759552598,False
22,7,55,sin,57921,72,0.046537325533826314,3153.319580078125,False
23,7,9,swish,47808,154,4.640813409497636e-05,0.0006200862117111683,False
24,6,41,swish,77694,18,4.6660666363188035e-05,0.6440049409866333,False
25,3,63,swish,22260,130,4.6631468647844633e-05,0.4839419722557068,False
26,6,41,tanh,37201,92,4.778296404748715e-05,0.00063353031873703,False
27,3,11,sigmoid,87745,123,0.0008514688536378399,0.0006561569753102958,False
28,7,19,swish,73027,110,0.002066017514694289,0.0010116096818819642,False
29,4,43,swish,46157,143,0.004601672715373266,0.005703771021217108,False
30,2,73,relu,9611,25,4.570855687023736e-05,0.7278420925140381,False
31,2,88,relu,97705,15,0.0005082021059712116,0.6331591606140137,False
32,2,88,relu,40547,166,4.429169989163461e-05,0.6863216161727905,False
33,3,6,sin,28236,157,0.0006331100246523958,0.04669368639588356,False
34,3,17,tanh,39387,74,0.004325001161359119,0.0011674966663122177,False
35,9,82,sigmoid,6016,199,4.2729920539238346e-05,0.5765817761421204,False
36,3,5,swish,13155,194,4.3752807681262783e-05,0.7941325902938843,False
37,9,37,sin,13415,186,4.261834409512021e-05,0.00211350223980844,False
38,5,61,tanh,76726,58,0.00615163928057484,0.10135339200496674,False
39,8,44,relu,16694,62,4.450795454050861e-05,0.6299710273742676,False
40,6,31,sin,72779,95,0.006141300508599,0.014785432256758213,False
41,10,5,swish,58932,13,4.380689438837986e-05,1.2102043628692627,False
42,8,18,swish,5206,24,4.5104830719817615e-05,0.4511621296405792,False
43,8,5,relu,46949,188,4.317983538076923e-05,0.6893695592880249,False
44,9,38,swish,39911,97,0.005442407952938011,0.007232264149934053,False
45,3,95,sin,11783,180,3.8483196214077955e-05,0.415018767118454,False
46,7,84,relu,96906,157,3.603649948118791e-05,0.6248710751533508,False
47,10,78,tanh,77592,16,3.4762110779375036e-05,0.5704445838928223,False
48,6,5,tanh,99841,10,4.030579613088491e-05,0.7608131170272827,False
49,5,90,sigmoid,26566,198,3.574581722179593e-05,0.012251660227775574,False
50,6,94,relu,10949,32,3.6581549276483056e-05,0.6024788022041321,False
